Date,Day of the Week,Time of the Day,Location,Reason
3/3/2023,Friday,Evening,Garden,Daily Evening Visit
3/3/2023,Friday,Night,Home,Normal routine
3/3/2023,Friday,Night,,
3/3/2023,Friday,Night,,
3/3/2023,Friday,Night,Home,Dinner
3/3/2023,Friday,Night,Home,Medicine
3/3/2023,Friday,Night,Home,Daily Chores
3/3/2023,Friday,Night,Home,Sleep
3/4/2023,Saturday,Morning,Home,Normal routine
3/4/2023,Saturday,Morning,Home ,Daily Chores
3/4/2023,Saturday,Morning,Backyard,Personal Habit
3/4/2023,Saturday,Morning,Garden,Daily Morning Visit
3/4/2023,Saturday,Morning,Home,Breakfast
3/4/2023,Saturday,Morning,Home,Medicine
3/4/2023,Saturday,Morning,Bakery,Buy Bakery Items
3/4/2023,Saturday,Morning,Paddy Fields,Walking
3/4/2023,Saturday,Morning,Paddy Fields,Relaxation
3/4/2023,Saturday,Afternoon,Home,Daily Chores
3/4/2023,Saturday,Afternoon,Home,Normal routine
3/4/2023,Saturday,Afternoon,Home,Lunch
3/4/2023,Saturday,Afternoon,Home,Medicine
3/4/2023,Saturday,Afternoon,Home,Daily Chores
3/4/2023,Saturday,Afternoon,,
3/4/2023,Saturday,Evening,Garden,Inspection
3/4/2023,Saturday,Evening,Garden,Fertilizing
3/4/2023,Saturday,Evening,Grandson's Private Tuition Class 2,Pickup Grandson
3/4/2023,Saturday,Evening,Home,Sleep
3/4/2023,Saturday,Evening,Backyard,Personal Habit
3/4/2023,Saturday,Evening,Home,Daily Chores
3/4/2023,Saturday,Evening,Home,Normal routine
3/4/2023,Saturday,Evening,Paddy Fields,Walking
3/4/2023,Saturday,Evening,Garden,Daily Evening Visit
3/4/2023,Saturday,Night,Bakery,Buy Bakery Items
3/4/2023,Saturday,Night,Home,Normal routine
3/4/2023,Saturday,Night,Home,Dinner
3/4/2023,Saturday,Night,Home,Medicine
3/4/2023,Saturday,Night,Home,Daily Chores
3/4/2023,Saturday,Night,Home,Sleep
3/5/2023,Sunday,Morning,Home,Normal routine
3/5/2023,Sunday,Morning,Home ,Daily Chores
3/5/2023,Sunday,Morning,Backyard,Personal Habit
3/5/2023,Sunday,Morning,Garden,Daily Morning Visit
3/5/2023,Sunday,Morning,Home,Breakfast
3/5/2023,Sunday,Morning,Home,Medicine
3/5/2023,Sunday,Morning,Matara Public Bus Stand,Waiting for a bus
3/5/2023,Sunday,Morning,Matara Public Bus Stand,Waiting till bus to start the journey
3/5/2023,Sunday,Morning,Public Bus Stop,Waiting for a bus
3/5/2023,Sunday,Morning,Matara Weekly Fair,Buy Vegetables
3/5/2023,Sunday,Afternoon,Matara Weekly Fair,Buy Spices
3/5/2023,Sunday,Afternoon,Matara Fish Market,Buy Fish
3/5/2023,Sunday,Afternoon,Grocery Store,Buy essentials
3/5/2023,Sunday,Afternoon,Grocery Store,Buy News Paper
3/5/2023,Sunday,Afternoon,Home,Daily Chores
3/5/2023,Sunday,Afternoon,Home,Normal routine
3/5/2023,Sunday,Afternoon,Home,Lunch
3/5/2023,Sunday,Afternoon,Home,Medicine
3/5/2023,Sunday,Afternoon,Home,Daily Chores
3/5/2023,Sunday,Afternoon,Sunday School,Pick up Grand Son
3/5/2023,Sunday,Evening,Garden,Inspection
3/5/2023,Sunday,Evening,Garden,Daily Evening Visit
3/5/2023,Sunday,Evening,Garden,Fertilizing
3/5/2023,Sunday,Evening,Home,Sleep
3/5/2023,Sunday,Evening,Backyard,Personal Habit
3/5/2023,Sunday,Evening,Home,Daily Chores
3/5/2023,Sunday,Evening,Home,Normal routine
3/5/2023,Sunday,Evening,Paddy Fields,Walking
3/5/2023,Sunday,Evening,Elderly Society,Weekly Assembly
3/5/2023,Sunday,Night,Elderly Society,Weekly Assembly
3/5/2023,Sunday,Night,Home,Normal routine
3/5/2023,Sunday,Night,Nearby Restaurant,Buy Food
3/5/2023,Sunday,Night,Home,Dinner
3/5/2023,Sunday,Night,Home,Medicine
3/5/2023,Sunday,Night,Home,Daily Chores
3/5/2023,Sunday,Night,Home,Sleep
3/6/2023,Monday,Morning,Home,Normal routine
3/6/2023,Monday,Morning,Home ,Daily Chores
3/6/2023,Monday,Morning,Backyard,Personal Habit
3/6/2023,Monday,Morning,Garden,Daily Morning Visit
3/6/2023,Monday,Morning,Home,Breakfast
3/6/2023,Monday,Morning,Home,Medicine
3/6/2023,Monday,Morning,Fish Shop,Buy Fish to Cook
3/6/2023,Monday,Morning,Meat Shop,Buy Meat to Cook
3/6/2023,Monday,Afternoon,Fish Shop,Buy Fish to Cook
3/6/2023,Monday,Afternoon,Meat Shop,Buy Meat to Cook
3/6/2023,Monday,Afternoon,Home,Daily Chores
3/6/2023,Monday,Afternoon,Home,Normal routine
3/6/2023,Monday,Afternoon,Home,Lunch
3/6/2023,Monday,Afternoon,Home,Medicine
3/6/2023,Monday,Afternoon,Home,Daily Chores
3/6/2023,Monday,Afternoon,Rahula College - Matara,Pickup Grandson
3/6/2023,Monday,Afternoon,Public Bus Stop,Waiting for a bus
3/6/2023,Monday,Evening,Garden,Inspection
3/6/2023,Monday,Evening,Garden,Fertilizing
3/6/2023,Monday,Evening,Temple,Religious Rites
3/6/2023,Monday,Evening,Temple,Bodhi Pooja
3/6/2023,Monday,Evening,Home,Sleep
3/6/2023,Monday,Evening,Backyard,Personal Habit
3/6/2023,Monday,Evening,Home,Daily Chores
3/6/2023,Monday,Evening,Home,Normal routine
3/6/2023,Monday,Evening,Paddy Fields,Walking
3/6/2023,Monday,Evening,Garden,Daily Evening Visit
3/6/2023,Monday,Night,Bakery,Buy Bakery Items
3/6/2023,Monday,Night,Home,Normal routine
3/6/2023,Monday,Night,,
3/6/2023,Monday,Night,Home,Dinner
3/6/2023,Monday,Night,Home,Medicine
3/6/2023,Monday,Night,Home,Daily Chores
3/6/2023,Monday,Night,Home,Sleep
3/7/2023,Tuesday,Morning,Home,Normal routine
3/7/2023,Tuesday,Morning,Home ,Daily Chores
3/7/2023,Tuesday,Morning,Backyard,Personal Habit
3/7/2023,Tuesday,Morning,Garden,Daily Morning Visit
3/7/2023,Tuesday,Morning,Home,Breakfast
3/7/2023,Tuesday,Morning,Home,Medicine
3/7/2023,Tuesday,Morning,Bakery,Buy Bakery Items
3/7/2023,Tuesday,Morning,,
3/7/2023,Tuesday,Afternoon,,
3/7/2023,Tuesday,Afternoon,,
3/7/2023,Tuesday,Afternoon,Home,Daily Chores
3/7/2023,Tuesday,Afternoon,Home,Normal routine
3/7/2023,Tuesday,Afternoon,Home,Lunch
3/7/2023,Tuesday,Afternoon,Home,Medicine
3/7/2023,Tuesday,Afternoon,Home,Daily Chores
3/7/2023,Tuesday,Afternoon,,
3/7/2023,Tuesday,Evening,Paddy Fields,Relaxation
3/7/2023,Tuesday,Evening,Paddy Fields,Walking
3/7/2023,Tuesday,Evening,Garden,Inspection
3/7/2023,Tuesday,Evening,Garden,Fertilizing
3/7/2023,Tuesday,Evening,Home,Sleep
3/7/2023,Tuesday,Evening,Backyard,Personal Habit
3/7/2023,Tuesday,Evening,Home,Daily Chores
3/7/2023,Tuesday,Evening,Home,Normal routine
3/7/2023,Tuesday,Evening,Home,Normal routine
3/7/2023,Tuesday,Evening,Garden,Daily Evening Visit
3/7/2023,Tuesday,Night,Garden,Inspection
3/7/2023,Tuesday,Night,Garden,Fertilizing
3/7/2023,Tuesday,Night,Garden,Daily Evening Visit
3/7/2023,Tuesday,Night,,
3/7/2023,Tuesday,Night,,
3/7/2023,Tuesday,Night,Home,Dinner
3/7/2023,Tuesday,Night,Home,Medicine
3/7/2023,Tuesday,Night,Home,Daily Chores
3/7/2023,Tuesday,Night,Home,Sleep
3/8/2023,Wednesday,Morning,Home,Normal routine
3/8/2023,Wednesday,Morning,Home ,Daily Chores
3/8/2023,Wednesday,Morning,Backyard,Personal Habit
3/8/2023,Wednesday,Morning,Garden,Daily Morning Visit
3/8/2023,Wednesday,Morning,Home,Breakfast
3/8/2023,Wednesday,Morning,Home,Medicine
3/8/2023,Wednesday,Morning,Home,Visit from Elder Daughter
3/8/2023,Wednesday,Morning,Matara General Hospital,Weekly Diabetes Clinic
3/8/2023,Wednesday,Morning,Matara General Hospital,Weekly Diabetes Tests
3/8/2023,Wednesday,Morning,Pharmacy 1,Buy Medicine
3/8/2023,Wednesday,Afternoon,Matara Public Bus Stand,Waiting for a bus
3/8/2023,Wednesday,Afternoon,Matara Public Bus Stand,Waiting till bus to start the journey
3/8/2023,Wednesday,Afternoon,Home,Daily Chores
3/8/2023,Wednesday,Afternoon,Home,Normal routine
3/8/2023,Wednesday,Afternoon,Home,Lunch
3/8/2023,Wednesday,Afternoon,Home,Medicine
3/8/2023,Wednesday,Afternoon,Home,Daily Chores
3/8/2023,Wednesday,Afternoon,Vegetables Shop,Buy Vegetables
3/8/2023,Wednesday,Afternoon,Rahula College - Matara,Pickup Grandson
3/8/2023,Wednesday,Afternoon,Public Bus Stop,Waiting for a bus
3/8/2023,Wednesday,Evening,Bakery,Buy Bakery Items
3/8/2023,Wednesday,Evening,Garden,Inspection
3/8/2023,Wednesday,Evening,Garden,Fertilizing
3/8/2023,Wednesday,Evening,Home,Sleep
3/8/2023,Wednesday,Evening,Backyard,Personal Habit
3/8/2023,Wednesday,Evening,Home,Daily Chores
3/8/2023,Wednesday,Evening,Paddy Fields,Walking
3/8/2023,Wednesday,Evening,Home,Normal routine
3/8/2023,Wednesday,Evening,Garden,Daily Evening Visit
3/8/2023,Wednesday,Night,Home,Normal routine
3/8/2023,Wednesday,Night,,
3/8/2023,Wednesday,Night,Home,Dinner
3/8/2023,Wednesday,Night,Home,Medicine
3/8/2023,Wednesday,Night,Home,Daily Chores
3/8/2023,Wednesday,Night,Home,Sleep
3/9/2023,Thursday,Morning,Home,Normal routine
3/9/2023,Thursday,Morning,Home ,Daily Chores
3/9/2023,Thursday,Morning,Backyard,Personal Habit
3/9/2023,Thursday,Morning,Garden,Daily Morning Visit
3/9/2023,Thursday,Morning,Home,Breakfast
3/9/2023,Thursday,Morning,Home,Medicine
3/9/2023,Thursday,Morning,Paddy Fields,Relaxation
3/9/2023,Thursday,Morning,Neighbour 2 House,Friendly Visit
3/9/2023,Thursday,Afternoon,Neighbour 2 House,Friendly Visit
3/9/2023,Thursday,Afternoon,Home,Daily Chores
3/9/2023,Thursday,Afternoon,Home,Normal routine
3/9/2023,Thursday,Afternoon,Home,Lunch
3/9/2023,Thursday,Afternoon,Home,Medicine
3/9/2023,Thursday,Afternoon,Home,Daily Chores
3/9/2023,Thursday,Afternoon,,
3/9/2023,Thursday,Evening,Paddy Fields,Walking
3/9/2023,Thursday,Evening,Garden,Inspection
3/9/2023,Thursday,Evening,Garden,Fertilizing
3/9/2023,Thursday,Evening,Home,Sleep
3/9/2023,Thursday,Evening,Backyard,Personal Habit
3/9/2023,Thursday,Evening,Home,Daily Chores
3/9/2023,Thursday,Evening,Home,Normal routine
3/9/2023,Thursday,Evening,Paddy Fields,Relaxation
3/9/2023,Thursday,Evening,Garden,Daily Evening Visit
3/9/2023,Thursday,Night,Home,Normal routine
3/9/2023,Thursday,Night,,
3/9/2023,Thursday,Night,,
3/9/2023,Thursday,Night,Home,Dinner
3/9/2023,Thursday,Night,Home,Medicine
3/9/2023,Thursday,Night,Home,Daily Chores
3/9/2023,Thursday,Night,Home,Sleep
3/10/2023,Friday,Morning,Home,Normal routine
3/10/2023,Friday,Morning,Home ,Daily Chores
3/10/2023,Friday,Morning,Backyard,Personal Habit
3/10/2023,Friday,Morning,Garden,Daily Morning Visit
3/10/2023,Friday,Morning,Home,Breakfast
3/10/2023,Friday,Morning,Home,Medicine
3/10/2023,Friday,Morning,Paddy Fields,Relaxation
3/10/2023,Friday,Morning,Paddy Fields,Walking
3/10/2023,Friday,Afternoon,Home,Daily Chores
3/10/2023,Friday,Afternoon,Home,Normal routine
3/10/2023,Friday,Afternoon,Home,Lunch
3/10/2023,Friday,Afternoon,Home,Medicine
3/10/2023,Friday,Afternoon,Home,Daily Chores
3/10/2023,Friday,Afternoon,Rahula College - Matara,Pickup Grandson
3/10/2023,Friday,Afternoon,Public Bus Stop,Waiting for a bus
3/10/2023,Friday,Afternoon,Cargills Food City - Matara,Buy Essentials
3/10/2023,Friday,Evening,Cargills Food City - Matara,Buy Essentials
3/10/2023,Friday,Evening,Cargills Food City - Matara,Buy Essentials
3/10/2023,Friday,Evening,Garden,Inspection
3/10/2023,Friday,Evening,Garden,Fertilizing
3/10/2023,Friday,Evening,Grandson's Private Tuition Class 1,Pickup Grandson
3/10/2023,Friday,Evening,Home,Sleep
3/10/2023,Friday,Evening,Backyard,Personal Habit
3/10/2023,Friday,Evening,Home,Daily Chores
3/10/2023,Friday,Evening,Paddy Fields,Walking
3/10/2023,Friday,Evening,Garden,Daily Evening Visit
3/10/2023,Friday,Night,Home,Normal routine
3/10/2023,Friday,Night,Home,Dinner
3/10/2023,Friday,Night,Home,Medicine
3/10/2023,Friday,Night,Home,Daily Chores
3/10/2023,Friday,Night,Home,Sleep
3/11/2023,Saturday,Morning,Home,Normal routine
3/11/2023,Saturday,Morning,Home ,Daily Chores
3/11/2023,Saturday,Morning,Backyard,Personal Habit
3/11/2023,Saturday,Morning,Garden,Daily Morning Visit
3/11/2023,Saturday,Morning,Home,Breakfast
3/11/2023,Saturday,Morning,Home,Medicine
3/11/2023,Saturday,Morning,Paddy Fields,Walking
3/11/2023,Saturday,Morning,,
3/11/2023,Saturday,Afternoon,Home,Daily Chores
3/11/2023,Saturday,Afternoon,Home,Normal routine
3/11/2023,Saturday,Afternoon,Home,Lunch
3/11/2023,Saturday,Afternoon,Home,Medicine
3/11/2023,Saturday,Afternoon,Home,Daily Chores
3/11/2023,Saturday,Afternoon,Restaurant - Malimbada,Buy Food
3/11/2023,Saturday,Evening,Restaurant - Malimbada,Buy Food
3/11/2023,Saturday,Evening,Garden,Inspection
3/11/2023,Saturday,Evening,Garden,Fertilizing
3/11/2023,Saturday,Evening,Grandson's Private Tuition Class 2,Pickup Grandson
3/11/2023,Saturday,Evening,Home,Sleep
3/11/2023,Saturday,Evening,Backyard,Personal Habit
3/11/2023,Saturday,Evening,Home,Daily Chores
3/11/2023,Saturday,Evening,Home,Normal routine
3/11/2023,Saturday,Evening,Paddy Fields,Walking
3/11/2023,Saturday,Evening,Garden,Daily Evening Visit
3/11/2023,Saturday,Night,Home,Normal routine
3/11/2023,Saturday,Night,,
3/11/2023,Saturday,Night,Home,Dinner
3/11/2023,Saturday,Night,Home,Medicine
3/11/2023,Saturday,Night,Home,Daily Chores
3/11/2023,Saturday,Night,Home,Sleep
3/12/2023,Sunday,Morning,Home,Normal routine
3/12/2023,Sunday,Morning,Home ,Daily Chores
3/12/2023,Sunday,Morning,Backyard,Personal Habit
3/12/2023,Sunday,Morning,Garden,Daily Morning Visit
3/12/2023,Sunday,Morning,Home,Breakfast
3/12/2023,Sunday,Morning,Home,Medicine
3/12/2023,Sunday,Morning,Paddy Fields,Walking
3/12/2023,Sunday,Morning,Grocery Store,Buy News Paper
3/12/2023,Sunday,Afternoon,Sunday School,Pick up Grand Son
3/12/2023,Sunday,Afternoon,Home,Daily Chores
3/12/2023,Sunday,Afternoon,Home,Normal routine
3/12/2023,Sunday,Afternoon,Home,Lunch
3/12/2023,Sunday,Afternoon,Home,Medicine
3/12/2023,Sunday,Afternoon,Home,Daily Chores
3/12/2023,Sunday,Afternoon,,
3/12/2023,Sunday,Afternoon,,
3/12/2023,Sunday,Afternoon,,
3/12/2023,Sunday,Evening,Paddy Fields,Walking
3/12/2023,Sunday,Evening,Garden,Inspection
3/12/2023,Sunday,Evening,Garden,Fertilizing
3/12/2023,Sunday,Evening,Home,Sleep
3/12/2023,Sunday,Evening,Backyard,Personal Habit
3/12/2023,Sunday,Evening,Home,Daily Chores
3/12/2023,Sunday,Evening,Home,Normal routine
3/12/2023,Sunday,Evening,Home,Normal routine
3/12/2023,Sunday,Evening,Garden,Daily Evening Visit
3/12/2023,Sunday,Evening,Elderly Society,Weekly Assembly
3/12/2023,Sunday,Night,Elderly Society,Weekly Assembly
3/12/2023,Sunday,Night,Bakery,Buy Bakery Items
3/12/2023,Sunday,Night,,
3/12/2023,Sunday,Night,,
3/12/2023,Sunday,Night,,
3/12/2023,Sunday,Night,,
3/12/2023,Sunday,Night,Home,Dinner
3/12/2023,Sunday,Night,Home,Medicine
3/12/2023,Sunday,Night,Home,Daily Chores
3/12/2023,Sunday,Night,Home,Sleep
3/13/2023,Monday,Morning,Home,Normal routine
3/13/2023,Monday,Morning,Home ,Daily Chores
3/13/2023,Monday,Morning,Backyard,Personal Habit
3/13/2023,Monday,Morning,Garden,Daily Morning Visit
3/13/2023,Monday,Morning,Home,Breakfast
3/13/2023,Monday,Morning,Public Bus Stop,Waiting for a bus
3/13/2023,Monday,Morning,Kaburugamuwa Hospital,Monthly Dimentia Clinic
3/13/2023,Monday,Morning,Kaburugamuwa Hospital,Visit Doctor
3/13/2023,Monday,Morning,Pharmacy 2,Buy Medicine
3/13/2023,Monday,Morning,Matara Public Bus Stand,Waiting for a bus
3/13/2023,Monday,Afternoon,Matara Public Bus Stand,Waiting till bus to start the journey
3/13/2023,Monday,Afternoon,Home,Daily Chores
3/13/2023,Monday,Afternoon,Home,Normal routine
3/13/2023,Monday,Afternoon,Home,Lunch
3/13/2023,Monday,Afternoon,Home,Medicine
3/13/2023,Monday,Afternoon,Home,Daily Chores
3/13/2023,Monday,Afternoon,,
3/13/2023,Monday,Afternoon,,
3/13/2023,Monday,Afternoon,,
3/13/2023,Monday,Evening,Paddy Fields,Walking
3/13/2023,Monday,Evening,Paddy Fields,Relaxation
3/13/2023,Monday,Evening,Garden,Inspection
3/13/2023,Monday,Evening,Garden,Fertilizing
3/13/2023,Monday,Evening,Home,Sleep
3/13/2023,Monday,Evening,Backyard,Personal Habit
3/13/2023,Monday,Evening,Home,Daily Chores
3/13/2023,Monday,Evening,Home,Normal routine
3/13/2023,Monday,Evening,Home,Normal routine
3/13/2023,Monday,Evening,Garden,Daily Evening Visit
3/13/2023,Monday,Night,Home,Normal routine
3/13/2023,Monday,Night,,
3/13/2023,Monday,Night,,
3/13/2023,Monday,Night,,
3/13/2023,Monday,Night,,
3/13/2023,Monday,Night,Nearby Restaurant,Buy Food
3/13/2023,Monday,Night,Home,Dinner
3/13/2023,Monday,Night,Home,Medicine
3/13/2023,Monday,Night,Home,Daily Chores
3/13/2023,Monday,Night,Home,Sleep
3/14/2023,Tuesday,Morning,Home,Normal routine
3/14/2023,Tuesday,Morning,Home ,Daily Chores
3/14/2023,Tuesday,Morning,Backyard,Personal Habit
3/14/2023,Tuesday,Morning,Garden,Daily Morning Visit
3/14/2023,Tuesday,Morning,Home,Breakfast
3/14/2023,Tuesday,Morning,Home,Medicine
3/14/2023,Tuesday,Morning,Bakery,Buy Bakery Items
3/14/2023,Tuesday,Morning,,
3/14/2023,Tuesday,Morning,,
3/14/2023,Tuesday,Morning,,
3/14/2023,Tuesday,Afternoon,,
3/14/2023,Tuesday,Afternoon,,
3/14/2023,Tuesday,Afternoon,Home,Daily Chores
3/14/2023,Tuesday,Afternoon,Home,Normal routine
3/14/2023,Tuesday,Afternoon,Home,Lunch
3/14/2023,Tuesday,Afternoon,Home,Medicine
3/14/2023,Tuesday,Afternoon,Home,Daily Chores
3/14/2023,Tuesday,Afternoon,,
3/14/2023,Tuesday,Afternoon,,
3/14/2023,Tuesday,Afternoon,,
3/14/2023,Tuesday,Evening,,
3/14/2023,Tuesday,Evening,Garden,Inspection
3/14/2023,Tuesday,Evening,Garden,Fertilizing
3/14/2023,Tuesday,Evening,Backyard,Personal Habit
3/14/2023,Tuesday,Evening,Home,Daily Chores
3/14/2023,Tuesday,Evening,Home,Normal routine
3/14/2023,Tuesday,Evening,Home,Normal routine
3/14/2023,Tuesday,Evening,Garden,Daily Evening Visit
3/14/2023,Tuesday,Evening,Paddy Fields,Walking
3/14/2023,Tuesday,Evening,Paddy Fields,Relaxation
3/14/2023,Tuesday,Night,,
3/14/2023,Tuesday,Night,,
3/14/2023,Tuesday,Night,,
3/14/2023,Tuesday,Night,,
3/14/2023,Tuesday,Night,,
3/14/2023,Tuesday,Night,,
3/14/2023,Tuesday,Night,Home,Dinner
3/14/2023,Tuesday,Night,Home,Medicine
3/14/2023,Tuesday,Night,Home,Daily Chores
3/14/2023,Tuesday,Night,Home,Sleep
3/15/2023,Wednesday,Morning,Home,Normal routine
3/15/2023,Wednesday,Morning,Home ,Daily Chores
3/15/2023,Wednesday,Morning,Backyard,Personal Habit
3/15/2023,Wednesday,Morning,Garden,Daily Morning Visit
3/15/2023,Wednesday,Morning,Home,Breakfast
3/15/2023,Wednesday,Morning,Home,Medicine
3/15/2023,Wednesday,Morning,Home,Visit from Elder Daughter
3/15/2023,Wednesday,Morning,Matara General Hospital,Weekly Diabetes Clinic
3/15/2023,Wednesday,Morning,Matara General Hospital,Weekly Diabetes Tests
3/15/2023,Wednesday,Morning,Matara Public Bus Stand,Waiting for a bus
3/15/2023,Wednesday,Afternoon,Matara Public Bus Stand,Waiting till bus to start the journey
3/15/2023,Wednesday,Afternoon,Rahula College - Matara,Pickup Grandson
3/15/2023,Wednesday,Afternoon,Home,Daily Chores
3/15/2023,Wednesday,Afternoon,Home,Normal routine
3/15/2023,Wednesday,Afternoon,Home,Lunch
3/15/2023,Wednesday,Afternoon,Home,Medicine
3/15/2023,Wednesday,Afternoon,Home,Daily Chores
3/15/2023,Wednesday,Afternoon,Public Bus Stop,Waiting for a bus
3/15/2023,Wednesday,Afternoon,,
3/15/2023,Wednesday,Evening,,
3/15/2023,Wednesday,Evening,Garden,Inspection
3/15/2023,Wednesday,Evening,Garden,Fertilizing
3/15/2023,Wednesday,Evening,Home,Sleep
3/15/2023,Wednesday,Evening,Backyard,Personal Habit
3/15/2023,Wednesday,Evening,Home,Daily Chores
3/15/2023,Wednesday,Evening,Home,Normal routine
3/15/2023,Wednesday,Evening,Paddy Fields,Walking
3/15/2023,Wednesday,Evening,Garden,Daily Evening Visit
3/15/2023,Wednesday,Night,Bakery,Buy Bakery Items
3/15/2023,Wednesday,Night,Home,Normal routine
3/15/2023,Wednesday,Night,,
3/15/2023,Wednesday,Night,,
3/15/2023,Wednesday,Night,Home,Dinner
3/15/2023,Wednesday,Night,Home,Medicine
3/15/2023,Wednesday,Night,Home,Daily Chores
3/15/2023,Wednesday,Night,Home,Sleep
3/16/2023,Thursday,Morning,Home,Normal routine
